date,open,high,low,close,Volume ETH,Volume USDT,tradecount
2018-04-12 11-AM,433.05,476.73,432.94,460.32,41937.32,19248752.94,NULL
2018-04-12 10-AM,424.9,434,424,433.05,3461.99,1486861,NULL
2018-04-12 09-AM,423.3,425.5,420.61,424.9,3317.46,1402977.89,NULL
2018-04-12 08-AM,422.22,424.92,421.04,423.3,3543.57,1498172.75,NULL
2018-04-12 07-AM,415.62,424,412.88,422.22,12245.03,5119391.92,NULL
2018-04-12 06-AM,433.72,434.77,415,416.13,9891.94,4203544.28,NULL
2018-04-12 05-AM,437.03,437.39,432.69,433.72,3266.07,1418943.86,NULL
2018-04-12 04-AM,437.17,437.44,433.34,437.03,4182.58,1822144.79,NULL
2018-04-12 03-AM,436.53,439.41,433,437.17,8270.26,3614584.43,NULL
2018-04-12 02-AM,432.43,438,432,436.53,5941.39,2582672.09,NULL
2018-04-12 01-AM,432.82,433,427.64,432.43,4735.7,2040920.8,NULL
2018-04-12 12-AM,429.52,434.5,429.24,432.82,6181,2669698.29,NULL
2018-04-11 11-PM,422.98,433.54,422.98,429.52,7995.57,3422319.3,NULL
2018-04-11 10-PM,421.15,423.34,420.5,422.98,1791.89,756849.97,NULL
2018-04-11 09-PM,420.47,421.85,419.29,421.15,1092.61,459562.71,NULL
2018-04-11 08-PM,422,422.61,419,420.47,2413.98,1016967.72,NULL
2018-04-11 07-PM,421.71,422.61,420.37,422,2281.39,962267.5,NULL
2018-04-11 06-PM,420.99,424.33,418.84,421.71,2814.73,1187190.64,NULL
2018-04-11 05-PM,420.37,423.86,418.64,420.99,3199.89,1348953.16,NULL
2018-04-11 04-PM,420.56,421.3,418.63,420.37,3299.6,1385848.26,NULL
2018-04-11 03-PM,422.51,423.53,420.01,420.56,3425.15,1443229.93,NULL
2018-04-11 02-PM,420.98,425,420.51,422.51,4831.23,2042361.8,NULL
2018-04-11 01-PM,415.73,425,415.21,420.98,9526.88,4016401.23,NULL
2018-04-11 12-PM,414.53,415.89,413.8,415.73,2040.97,846464.95,NULL
2018-04-11 11-AM,412.67,415.68,410.38,414.53,3371.4,1392002.48,NULL
2018-04-11 10-AM,417.1,418.6,412.5,412.67,3305.62,1372398.55,NULL
2018-04-11 09-AM,416.8,418.53,416.53,417.1,1611.54,672737.82,NULL
2018-04-11 08-AM,416.5,418,414.14,416.8,2553.04,1063533.01,NULL
2018-04-11 07-AM,417.4,418.5,414.99,416.5,1778.53,741752.66,NULL
2018-04-11 06-AM,417.22,418.49,413.66,417.4,3463.33,1442057.48,NULL
2018-04-11 05-AM,415.19,419.77,415,417.22,4812.27,2012615.53,NULL
2018-04-11 04-AM,413,415.26,412.77,415.19,1673.03,691695.83,NULL
2018-04-11 03-AM,416.05,416.65,411.81,413,4037.69,1670741.09,NULL
2018-04-11 02-AM,415.64,417.6,415.3,416.05,2885.21,1202181.3,NULL
2018-04-11 01-AM,418.11,418.38,414.01,415.64,4138.84,1720084.43,NULL
2018-04-11 12-AM,416.07,420,415.22,418.11,5201.17,2174864.29,NULL
2018-04-10 11-PM,410.33,416.2,408.8,416.07,4076.44,1680501.41,NULL
2018-04-10 10-PM,413.93,418.68,407.7,410.33,6396.55,2643892.51,NULL
2018-04-10 09-PM,410.79,414.46,410.79,413.93,2983.49,1230611.35,NULL
2018-04-10 08-PM,411.55,411.89,408.51,410.79,1891.51,775029.69,NULL
2018-04-10 07-PM,410.75,411.7,408.55,411.55,1918.7,787435.75,NULL
2018-04-10 06-PM,411.01,411.99,408.5,410.75,3237.19,1327933.99,NULL
2018-04-10 05-PM,406.99,411.3,406.35,411.01,3190.23,1304713.7,NULL
2018-04-10 04-PM,406.52,409.64,404.8,406.99,5329.13,2170355.57,NULL
2018-04-10 03-PM,399.56,407.8,399.35,406.52,6389.81,2586771.37,NULL
2018-04-10 02-PM,399.1,400.95,398.01,399.56,1833.12,732017.87,NULL
2018-04-10 01-PM,398.15,399.31,397.59,399.1,2177.97,868494.46,NULL
2018-04-10 12-PM,396,398.82,395.45,398.15,2348.57,932581.18,NULL
2018-04-10 11-AM,394.26,397,391.4,396,3465.34,1368344.45,NULL
